Table 10,,,,,,,,,,,,,,,
TENNESSEE,,,,,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,,,,,
"by Metropolitan and Nonmetropolitan Counties, 2019",,,,,,,,,,,,,,,
[The data shown in this table do not reflect county totals but are the number of offenses reported by the sheriff's office or county police department.],,,,,,,,,,,,,,,
Metropolitan/Nonmetropolitan,County,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson,,,,
Metropolitan Counties,Anderson,144,0,11,4,129,472,136,253,83,12,,,,
,Blount,322,0,55,14,253,"1,103",256,711,136,3,,,,
,Bradley,205,1,15,13,176,808,190,508,110,1,,,,
,Campbell,62,0,22,1,39,335,106,178,51,2,,,,
,Cannon,12,0,1,0,11,96,42,27,27,1,,,,
,Carter,63,0,3,3,57,334,67,236,31,0,,,,
,Cheatham,87,1,6,2,78,280,57,174,49,2,,,,
,Chester,25,1,6,0,18,79,30,37,12,0,,,,
,Crockett,29,0,0,1,28,106,35,57,14,0,,,,
,Dickson,121,0,15,4,102,334,88,195,51,0,,,,
,Fayette,55,1,1,4,49,209,60,121,28,0,,,,
,Gibson,56,2,7,3,44,160,51,88,21,0,,,,
,Grainger,43,0,3,1,39,160,38,104,18,0,,,,
,Hamblen,120,1,11,8,100,462,100,288,74,5,,,,
,Hartsville/Trousdale,30,0,5,1,24,142,24,105,13,0,,,,
,Hawkins,77,2,6,2,67,587,163,335,89,3,,,,
,Jefferson,97,1,14,0,82,428,135,230,63,1,,,,
,Knox,577,2,62,30,483,"3,413",588,"2,331",494,15,,,,
,Loudon,72,3,3,3,63,375,79,243,53,1,,,,
,Macon,41,0,0,0,41,159,54,91,14,1,,,,
,Madison,103,0,4,12,87,380,73,251,56,0,,,,
,Marion,59,0,3,1,55,220,43,135,42,3,,,,
,Maury,140,1,24,1,114,431,94,260,77,3,,,,
,Montgomery,104,2,10,1,91,571,136,378,57,2,,,,
,Morgan,40,0,3,1,36,320,100,168,52,1,,,,
,Polk,25,0,1,2,22,311,61,192,58,3,,,,
,Roane,63,2,5,1,55,235,70,123,42,1,,,,
,Robertson,75,1,6,1,67,243,48,164,31,2,,,,
,Rutherford,205,1,19,16,169,746,153,506,87,10,,,,
,Sequatchie,31,0,1,1,29,153,40,84,29,3,,,,
,Shelby,569,3,34,72,460,"2,473",551,"1,703",219,11,,,,
,Smith,43,0,7,1,35,148,54,82,12,0,,,,
